epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,9234.78,1.02411,10.2555,0.57298,1.51529,1.06649,0.0003,0.02457,0.00017,7e-05,0.00025,0.02564,0.00015,3e-05,3.03622,11.6781,0.58477,5.50456,2.71796,0.0003367,0.0003367,0.0003367
69,9364.69,1.09929,10.6395,0.59159,1.61094,1.13098,0.00045,0.03098,0.00027,7e-05,0.00028,0.02564,0.00016,5e-05,3.033,11.6331,0.59742,5.29806,2.64414,0.0003268,0.0003268,0.0003268
70,9492.92,1.10538,10.5746,0.56907,1.58888,1.11023,0.00068,0.03953,0.00042,0.00014,0.00033,0.02564,0.00018,3e-05,2.98764,11.6241,0.61007,5.32559,2.62687,0.0003169,0.0003169,0.0003169
71,9622.38,1.08597,10.6081,0.55151,1.48486,1.13798,0.0006,0.03312,0.00036,0.00011,0.00013,0.00855,7e-05,3e-05,2.93426,11.6304,0.59887,5.35004,2.56335,0.000307,0.000307,0.000307
72,9752.69,1.05052,10.4509,0.56297,1.57783,1.12204,0.00091,0.04915,0.00051,0.00018,0.00018,0.01282,0.0001,2e-05,2.89392,11.6416,0.58623,5.38434,2.52775,0.0002971,0.0002971,0.0002971
73,9882.55,1.05167,10.722,0.57665,1.54427,1.11323,0.00113,0.05769,0.00067,0.00016,6e-05,0.00427,3e-05,0,2.84622,11.6723,0.57997,5.23601,2.53178,0.0002872,0.0002872,0.0002872
74,10011.2,0.96863,10.4212,0.56286,1.41041,1.11054,0.00131,0.06197,0.00076,0.00019,9e-05,0.00855,5e-05,1e-05,2.82845,11.6853,0.58393,5.36143,2.51396,0.0002773,0.0002773,0.0002773
75,10139.6,1.08872,10.1344,0.57696,1.55647,1.13783,0.00108,0.05128,0.00062,9e-05,0.00017,0.01282,9e-05,3e-05,2.79194,11.685,0.57169,5.45753,2.48152,0.0002674,0.0002674,0.0002674
76,10269.4,1.04323,9.95262,0.59406,1.42635,1.1132,0.00078,0.0406,0.00043,0.0001,0.00031,0.02137,0.00017,4e-05,2.71683,11.6861,0.57187,5.35187,2.45951,0.0002575,0.0002575,0.0002575
77,10405.9,1.00841,10.6154,0.56523,1.35272,1.0711,0.00068,0.03739,0.00038,8e-05,0.00027,0.01709,0.00015,4e-05,2.73618,11.6755,0.57547,5.37997,2.489,0.0002476,0.0002476,0.0002476
78,10536.5,1.05867,10.6375,0.57201,1.36087,1.10032,0.00045,0.02564,0.00025,9e-05,0.00045,0.02564,0.00026,7e-05,2.75734,11.6703,0.57752,5.49282,2.46528,0.0002377,0.0002377,0.0002377
79,10664,0.97018,10.3561,0.59618,1.30264,1.05343,0.00075,0.03632,0.00042,0.00013,0.00044,0.02564,0.00028,8e-05,2.7322,11.6472,0.5697,5.52456,2.44935,0.0002278,0.0002278,0.0002278
80,10793.1,1.00166,9.9528,0.57032,1.41363,1.08956,0.0007,0.03205,0.00042,0.00015,0.00023,0.01282,0.00013,4e-05,2.70448,11.6573,0.57021,5.38005,2.45535,0.0002179,0.0002179,0.0002179
81,10922.5,1.00362,9.96872,0.56275,1.47871,1.10657,0.00065,0.02778,0.0004,0.00012,0.00038,0.02137,0.00021,6e-05,2.71357,11.6664,0.5672,5.28602,2.47795,0.000208,0.000208,0.000208
82,11050.3,0.90915,10.3979,0.56107,1.34243,1.08723,0.00056,0.01923,0.00033,9e-05,0.00024,0.01282,0.00013,4e-05,2.75991,11.6593,0.58044,5.29714,2.4742,0.0001981,0.0001981,0.0001981
83,11178.9,0.98927,10.3671,0.58658,1.35669,1.08694,0.00041,0.01603,0.00023,8e-05,0.00033,0.01709,0.00018,5e-05,2.81349,11.66,0.59147,5.23179,2.51795,0.0001882,0.0001882,0.0001882
84,11306.8,0.94203,10.2212,0.58208,1.32222,1.08507,0.00038,0.01068,0.00021,5e-05,0.00023,0.01282,0.00013,3e-05,2.83047,11.6596,0.60595,5.15213,2.56417,0.0001783,0.0001783,0.0001783
